player,pos,fp_id,ecr_2qb,value_2qb
Jauan Jennings,WR,19590,330.9,4
Nick Westbrook-Ikhine,WR,19747,331,4
Elijah Higgins,TE,23119,350.8,3
Sterling Shepard,WR,15569,340.9,3
Kedon Slovis,QB,23166,364.1,2
Charlie Kolar,TE,22756,351,3
P.J. Walker,QB,16841,364.2,2
Marvin Jones Jr.,WR,11215,331.6,4
Royce Freeman,RB,17245,337.2,4
Jared Wiley,TE,26343,352.6,3
Mack Hollins,WR,16489,340.6,4
Dyami Brown,WR,20113,346.2,3
Durham Smythe,TE,17508,353.6,3
Nyheim Hines,RB,17297,339.6,4
Easton Stick,QB,18446,366.8,2
Skylar Thompson,QB,24170,366.9,2
Dallin Holker,TE,24732,354.2,3
James Robinson,RB,19631,325.4,5
Kenny Golladay,WR,16488,335,4
Demarcus Robinson,WR,15665,335.8,4
Devin Duvernay,WR,19270,348,3
C.J. Uzomah,TE,14084,355.1,2
Case Keenum,QB,11425,368.4,2
Peyton Hendershot,TE,22971,355.6,2
Sam Hartman,QB,24340,368.8,2
Cameron Latu,TE,24331,356,2
Braxton Berrios,WR,17289,336.6,4
Malik Cunningham,QB,22988,369.6,2
Sam Ehlinger,QB,19803,369.8,2
Kendall Milton,RB,22962,352.2,3
Max Duggan,QB,23121,370.5,2
KJ Hamler,WR,19267,337.6,4
Cornelius Johnson,WR,23017,338,4
Hassan Haskins,RB,23798,353.6,3
Hunter Long,TE,22783,358.2,2
Trenton Irwin,WR,18726,338.6,4
Kyle Allen,QB,17869,371.8,2
Bub Means,WR,26354,339,4
Tanner McKee,QB,24740,372.3,2
George Holani,RB,22915,354.5,3
John Bates,TE,22833,359.2,2
Danny Gray,WR,24178,339.6,4
Melvin Gordon III,RB,13903,354.8,3
Matt Ryan,QB,9444,372.8,2
Davis Allen,TE,23761,359.7,2
Devin Culp,TE,26440,359.8,2
Jha'Quan Jackson,WR,26377,340,4
Colby Parkinson,TE,19372,360.5,2
Velus Jones Jr.,WR,24214,340.7,3
Malik Heath,WR,25668,341.2,3
Jake Bobo,WR,25339,341.4,3
Daijun Edwards,RB,25985,356.8,2
Sean Clifford,QB,20073,374.8,2
Myles Gaskin,RB,17251,357.8,2
A.J. Barner,TE,26335,362.6,2
AJ McCarron,QB,12091,375.8,2
Matt Corral,QB,23028,375.8,2
Deonte Harty,WR,18876,343.2,3
Ameer Abdullah,RB,13924,358.8,2
Jawhar Jordan,RB,26329,358.8,2
Cedrick Wilson Jr.,WR,17262,343.7,3
Tahj Brooks,RB,26212,359.2,2
Darrynton Evans,RB,19418,359.3,2
Kene Nwangwu,RB,23249,359.6,2
Brevyn Spann-Ford,TE,26003,364.3,2
James Mitchell,TE,23174,364.7,2
Quez Watkins,WR,19715,345,3
Payne Durham,TE,25346,365,2
Jordan Akins,TE,17415,365.1,2
Michael Wiley,RB,26380,360.7,2
Tahj Washington,WR,26397,346,3
Kellen Mond,QB,19383,379,1
Eno Benjamin,RB,19361,361.3,2
Jase McClellan,RB,22894,361.6,2
Colt McCoy,QB,9702,379.8,1
Dan Arnold,TE,17143,367,2
Ainias Smith,WR,23142,347.6,3
Tre' McKitty,TE,22807,367.6,2
Bryson Nesbit,TE,25998,367.8,2
Josh Johnson,QB,9326,381.3,1
Ke'Shawn Vaughn,RB,19351,363.7,2
Marquez Callaway,WR,19505,348.7,3
Marcus Rosemy-Jacksaint,WR,26342,349,3
Tyler Badie,RB,23812,364.3,2
Ian Thomas,TE,17387,369.5,2
Josh Whyle,TE,22923,369.6,2
Derius Davis,WR,25334,348.8,3
Isaiah Williams,WR,26379,350.4,3
Marlon Mack,RB,16444,365.7,2
Raheem Blackshear,RB,20100,365.9,2
Ronald Jones II,RB,17243,366.2,2
Julius Chestnut,RB,24689,366.6,2
Robbie Chosen,WR,15688,351.9,3
Snoop Conner,RB,23027,367.5,2
Jalen Guyton,WR,18941,352.4,3
Jamison Crowder,WR,13976,352.7,3
Deneric Prince,RB,25770,368.1,2
Bryce Ford-Wheaton,WR,25340,353.2,3
Miyan Williams,RB,25386,368.4,2
Emanuel Wilson,RB,25885,369,2
Kenyan Drake,RB,15637,369.1,2
Mike Boone,RB,17813,369.2,2
O.J. Howard,TE,16380,373.8,2
Jacob Harris,TE,23251,374,2
Kalif Raymond,WR,16081,355.4,2
Rakim Jarrett,WR,23001,355.9,2
Ben Skowronek,WR,22843,356.1,2
Travis Homer,RB,18616,371.8,2
Brycen Hopkins,TE,19234,376.8,1
Dontrell Hilliard,RB,18037,372.3,2
Drew Ogletree,TE,24561,377,1
Justin Watson,WR,17603,357.8,2
Grant Calcaterra,TE,24180,377.8,1
Connor Heyward,TE,24562,377.9,1
Demetric Felton Jr.,RB,20105,373.4,2
Jalen Reagor,WR,19219,358.6,2
Olamide Zaccheaus,WR,18864,358.7,2
Justin Shorter,WR,24083,359.4,2
Ronnie Bell,WR,23012,359.4,2
Emani Bailey,RB,26330,374.7,2
Tyler Goodson,RB,22976,375,2
Randall Cobb,WR,9902,360.8,2
Chris Brooks,RB,25823,376.2,2
Ricky Seals-Jones,TE,16730,381.1,1
Dare Ogunbowale,RB,16879,376.6,2
Brock Wright,TE,23341,381.3,1
Brandon Johnson,WR,24233,361.6,2
Julian Hill,TE,25824,381.4,1
Denzel Mims,WR,19344,362.1,2
Gary Brightwell,RB,23293,377.4,1
Anthony McFarland Jr.,RB,19366,377.4,1
Quintin Morris,TE,22820,382.6,1
Kenny Yeboah,TE,22815,382.8,1
Jack Stoll,TE,23193,383,1
J.D. McKissic,RB,16230,378.7,1
Drew Sample,TE,18561,384.3,1
Josiah Deguara,TE,19456,385,1
Quintez Cephus,WR,19396,365.8,2
La'Mical Perine,RB,19333,381.2,1
Shane Zylstra,TE,23461,385.8,1
Nick Muse,TE,24239,386.6,1
Brandon Bolden,RB,11410,382.2,1
